Trade Date,Index,Trade Start,Trade End,Delivery Start,Delivery End,Index Price,Price Currency,Duration,Traded Volume,Total Traded Volume,Traded Volume Unit,Alternate Volume,Total Alternate Volume,Trades In Index,Last Update Time,Component Type,Settle State
2022-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-04-01,2022-04-30 23:59:59,2022-05-01,2022-05-31,5.9098,CAD,31,49407800,1593800,GJ,,,531,2022-05-01 02:15:02,Index,Settled
2022-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-05-01,2022-05-31 23:59:59,2022-06-01,2022-06-30,7.3744,CAD,30,43695000,1456500,GJ,,,469,2022-06-01 02:15:22,Index,Settled
2022-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-06-01,2022-06-30 23:59:59,2022-07-01,2022-07-31,6.8341,CAD,31,31607600,1019600,GJ,,,394,2022-07-01 02:15:04,Index,Settled
2022-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-07-01,2022-07-31 23:59:59,2022-08-01,2022-08-31,5.0339,CAD,31,18178400,586400,GJ,,,215,2022-08-01 02:15:01,Index,Settled
2022-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-08-01,2022-08-31 23:59:59,2022-09-01,2022-09-30,4.6399,CAD,30,33444000,1114800,GJ,,,419,2022-09-01 02:15:15,Index,Settled
2022-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-09-01,2022-09-30 23:59:59,2022-10-01,2022-10-31,4.4138,CAD,31,31663400,1021400,GJ,,,407,2022-10-01 02:15:03,Index,Settled
2022-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-10-01,2022-10-31 23:59:59,2022-11-01,2022-11-30,5.3786,CAD,30,44640000,1488000,GJ,,,571,2022-11-01 02:15:15,Index,Settled
2022-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-11-01,2022-11-30 23:59:59,2022-12-01,2022-12-31,6.0743,CAD,31,68327100,2204100,GJ,,,861,2022-12-01 02:15:17,Index,Settled
2023-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2022-12-01,2022-12-31 23:59:59,2023-01-01,2023-01-31,5.7717,CAD,31,33182400,1070400,GJ,,,500,2023-01-01 02:15:01,Index,Settled
2023-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-01-01,2023-01-31 23:59:59,2023-02-01,2023-02-28,3.9058,CAD,28,34059200,1216400,GJ,,,566,2023-02-01 02:15:24,Index,Settled
2023-03-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-02-01,2023-02-28 23:59:59,2023-03-01,2023-03-31,2.6728,CAD,31,41363300,1334300,GJ,,,561,2023-03-01 02:15:24,Index,Settled
2023-04-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-03-01,2023-03-31 23:59:59,2023-04-01,2023-04-30,2.6241,CAD,30,34818000,1160600,GJ,,,425,2023-04-01 02:15:04,Index,Settled
2023-05-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-04-01,2023-04-30 23:59:59,2023-05-01,2023-05-31,2.0412,CAD,31,35042400,1130400,GJ,,,422,2023-05-01 02:15:17,Index,Settled
2023-06-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-05-01,2023-05-31 23:59:59,2023-06-01,2023-06-30,2.0059,CAD,30,45234000,1507800,GJ,,,526,2023-06-01 02:15:23,Index,Settled
2023-07-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-06-01,2023-06-30 23:59:59,2023-07-01,2023-07-31,1.8735,CAD,31,38517500,1242500,GJ,,,460,2023-07-01 02:15:06,Index,Settled
2023-08-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-07-01,2023-07-31 23:59:59,2023-08-01,2023-08-31,2.3528,CAD,31,21951100,708100,GJ,,,273,2023-08-01 02:15:24,Index,Settled
2023-09-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-08-01,2023-08-31 23:59:59,2023-09-01,2023-09-30,2.5574,CAD,30,26781000,892700,GJ,,,342,2023-09-01 02:15:16,Index,Settled
2023-10-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-09-01,2023-09-30 23:59:59,2023-10-01,2023-10-31,2.327,CAD,31,31691300,1022300,GJ,,,376,2023-10-06 12:51:38,Index,Settled
2023-11-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-10-01,2023-10-31 23:59:59,2023-11-01,2023-11-30,2.6045,CAD,30,50253000,1675100,GJ,,,600,2023-11-01 02:15:23,Index,Settled
2023-12-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-11-01,2023-11-30 23:59:59,2023-12-01,2023-12-31,2.6216,CAD,31,48174000,1554000,GJ,,,546,2023-12-01 02:15:17,Index,Settled
2024-01-01,ICE NGX AB-NIT Month Ahead Index (7A),2023-12-01,2023-12-31 23:59:59,2024-01-01,2024-01-31,1.9859,CAD,31,43892900,1415900,GJ,,,450,2024-01-01 02:15:04,Index,Settled
2024-02-01,ICE NGX AB-NIT Month Ahead Index (7A),2024-01-01,2024-01-31 23:59:59,2024-02-01,2024-02-29,2.2039,CAD,29,52875700,1823300,GJ,,,636,2024-02-01 02:15:35,Index,Settled
