Date,Clean_Solar_Generation,Trend_Seasonal_Component
2/19/2019,0,-40.63052568
2/20/2019,0,-38.70804068
2/21/2019,0,-36.5100738
2/22/2019,0,-34.04250274
2/23/2019,0,-31.31224535
2/24/2019,0.17249999,-28.32723194
2/25/2019,0.451833306,-25.09637366
2/26/2019,0,-21.62952684
2/27/2019,0,-17.93745371
2/28/2019,0.620499963,-14.03177947
3/1/2019,0.036166665,-9.924945964
3/2/2019,0.736999956,-5.630162187
3/3/2019,0.912833279,-1.161351704
3/4/2019,1.147833265,3.466902663
3/5/2019,1.409833249,8.239416742
3/6/2019,0.694666625,13.14046525
3/7/2019,1.987499889,18.15384409
3/8/2019,9.095277489,23.26293455
3/9/2019,46.74649893,28.45076897
3/10/2019,102.6328315,33.70009781
3/11/2019,57.17836022,38.9934577
3/12/2019,44.100777,44.31324028
3/13/2019,98.61141493,49.64176145
3/14/2019,105.9716647,54.96133095
3/15/2019,82.44744313,60.25432172
3/16/2019,96.99533172,65.50323904
3/17/2019,94.82499859,70.69078889
3/18/2019,105.8973314,75.79994554
3/19/2019,103.1611091,80.81401789
3/20/2019,100.0564427,85.71671436
3/21/2019,101.939276,90.49220613
3/22/2019,104.8369422,95.12518837
3/23/2019,93.99510949,99.60093932
3/24/2019,8.721332958,103.9053769
3/25/2019,48.15305463,108.0251129
3/26/2019,84.92788749,111.9475036
3/27/2019,58.11427667,115.6606983
3/28/2019,111.2621649,119.1536842
3/29/2019,105.6661099,122.416327
3/30/2019,111.4918594,125.4394098
3/31/2019,51.57288786,128.2146662
4/1/2019,58.2763879,130.734811
4/2/2019,91.23983204,132.9935663
4/3/2019,72.42194304,134.9856834
4/4/2019,96.6609981,136.7069612
4/5/2019,79.28824853,138.1542597
4/6/2019,89.89749886,139.3255093
4/7/2019,99.29516528,140.2197165
4/8/2019,102.3119985,140.8369641
4/9/2019,69.04813761,141.1784083
4/10/2019,78.63138767,141.2462707
4/11/2019,63.44885988,141.0438262
4/12/2019,110.5245258,140.5753871
4/13/2019,90.48885943,139.8462827
4/14/2019,57.99672114,138.8628347
4/15/2019,76.54760967,137.6323294
4/16/2019,100.9655818,136.1629853
4/17/2019,94.60844277,134.4639174
4/18/2019,100.4459984,132.5450979
4/19/2019,36.33988831,130.4173139
4/20/2019,87.04627621,128.0921214
4/21/2019,113.1708877,125.5817962
4/22/2019,99.75811021,122.899283
4/23/2019,79.28744297,120.058141
4/24/2019,92.86316535,117.0724872
4/25/2019,119.0530538,113.9569381
4/26/2019,49.80261026,110.7265493
4/27/2019,50.87116579,107.3967533
4/28/2019,117.7033875,103.9832959
4/29/2019,98.31705369,100.5021722
4/30/2019,81.9239153,96.96956046
5/1/2019,110.0801093,93.40175676
5/2/2019,102.9193319,89.81510832
5/3/2019,83.76772082,86.22594733
5/4/2019,29.98105483,82.65052479
5/5/2019,83.92766521,79.10494486
5/6/2019,108.3431924,75.60510002
5/7/2019,82.33144317,72.16660719
5/8/2019,89.61255395,68.80474514
5/9/2019,109.3908315,65.53439346
5/10/2019,83.77305416,62.36997322
5/11/2019,119.3766645,59.32538971
5/12/2019,107.6203872,56.41397733
5/13/2019,61.26727665,53.64844707
5/14/2019,89.06444322,51.04083646
5/15/2019,102.726443,48.60246253
5/16/2019,64.13544341,46.34387776
5/17/2019,34.54977707,44.27482921
5/18/2019,62.37649885,42.4042211
