Date,Daily Gas Generation,Trend + Seasonal Component
4/23/2020,125780.4722,122758.6728
4/24/2020,126210.8273,122246.2708
4/25/2020,117543.548,121735.938
4/26/2020,112508.6722,121228.422
4/27/2020,116527.5765,120724.4627
4/28/2020,115793.1906,120224.79
4/29/2020,121657.7538,119730.1221
4/30/2020,111522.9338,119241.1633
5/1/2020,121020.7677,118758.6025
5/2/2020,118113.354,118283.1115
5/3/2020,105216.6439,117815.3427
5/4/2020,114579.372,117355.9283
5/5/2020,118165.7173,116905.4777
5/6/2020,109957.2211,116464.5771
5/7/2020,115328.4018,116033.7872
5/8/2020,116480.1158,115613.6421
5/9/2020,117734.6449,115204.6483
5/10/2020,116568.9064,114807.283
5/11/2020,120063.7507,114421.9937
5/12/2020,116194.0633,114049.1966
5/13/2020,118000.7076,113689.2759
5/14/2020,114730.3609,113342.5831
5/15/2020,114523.5937,113009.4362
5/16/2020,97807.37222,112690.1194
5/17/2020,102945.4722,112384.882
5/18/2020,105816.1658,112093.9389
5/19/2020,108510.343,111817.4695
5/20/2020,111927.0328,111555.618
5/21/2020,112555.4817,111308.4934
5/22/2020,111386.6275,111076.1693
5/23/2020,116713.4486,110858.6843
5/24/2020,110991.844,110656.042
5/25/2020,109561.1283,110468.2119
5/26/2020,104225.6309,110295.1292
5/27/2020,112030.5274,110136.6961
5/28/2020,114342.944,109992.7817
5/29/2020,113471.5302,109863.2237
5/30/2020,105013.4647,109747.8284
5/31/2020,97836.14529,109646.3723
6/1/2020,97028.2738,109558.6028
6/2/2020,102476.1872,109484.2395
6/3/2020,102373.1556,109422.9753
6/4/2020,111177.8778,109374.4779
6/5/2020,114035.7488,109338.3908
6/6/2020,108970.4174,109314.3352
6/7/2020,102393.8128,109301.9109
6/8/2020,110710.9694,109300.6986
6/9/2020,107928.8649,109310.2605
6/10/2020,109939.7439,109330.143
6/11/2020,115731.9556,109359.8775
6/12/2020,114793.9735,109398.9827
6/13/2020,111345.6724,109446.9658
6/14/2020,104019.2123,109503.3249
6/15/2020,107467.5715,109567.5501
6/16/2020,115658.127,109639.1257
6/17/2020,119893.9826,109717.5318
6/18/2020,120676.22,109802.2464
6/19/2020,123998.3358,109892.7465
6/20/2020,119629.7564,109988.5105
6/21/2020,116814.0321,110089.0198
6/22/2020,120768.7248,110193.7602
6/23/2020,116762.3534,110302.2239
6/24/2020,118144.7919,110413.9109
6/25/2020,118655.1866,110528.3309
6/26/2020,113960.7888,110645.0046
6/27/2020,112594.9235,110763.4652
6/28/2020,105245.9954,110883.2602
6/29/2020,110946.1408,111003.9521
6/30/2020,110064.6537,111125.1206
7/1/2020,99001.6485,111246.3629
7/2/2020,101343.251,111367.2958
7/3/2020,110114.4293,111487.5559
7/4/2020,110686.694,111606.8014
7/5/2020,112103.0146,111724.7126
7/6/2020,118349.6673,111840.9928
7/7/2020,115503.8489,111955.3691
7/8/2020,108831.5985,112067.5932
7/9/2020,117547.3341,112177.4417
7/10/2020,113815.3756,112284.7167
7/11/2020,110753.0761,112389.2463
7/12/2020,100072.6546,112490.885
7/13/2020,104558.9364,112589.5132
7/14/2020,104320.5769,112685.0383
7/15/2020,106849.0408,112777.394
7/16/2020,114799.1489,112866.5402
7/17/2020,115824.0473,112952.4634
7/18/2020,108694.1198,113035.1758
7/19/2020,110629.6328,113114.7152
7/20/2020,114494.8589,113191.1446
7/21/2020,117422.7756,113264.5512
7/22/2020,117775.4782,113335.0466
7/23/2020,114497.5459,113402.7651
7/24/2020,109496.899,113467.8637
7/25/2020,116595.9653,113530.5208
7/26/2020,117949.681,113590.9353
7/27/2020,118386.2733,113649.3255
7/28/2020,118867.5017,113705.9283
7/29/2020,122963.2321,113760.9978
7/30/2020,125375.2237,113814.8042
7/31/2020,121740.8022,113867.6324
8/1/2020,114479.4769,113919.7808
8/2/2020,113319.8288,113971.56
8/3/2020,108538.1218,114023.2912
8/4/2020,116611.2753,114075.3051
8/5/2020,117825.9283,114127.94
8/6/2020,114804.0831,114181.5407
8/7/2020,103392.5842,114236.457
8/8/2020,100647.0753,114293.0418
8/9/2020,104316.557,114351.6501
8/10/2020,107555.1981,114412.6371
8/11/2020,108141.2181,114476.3568
8/12/2020,107123.5056,114543.1607
8/13/2020,108290.0257,114613.396
8/14/2020,107509.0817,114687.4042
8/15/2020,108144.3521,114765.5201
8/16/2020,113082.082,114848.0695
8/17/2020,116725.2145,114935.3689
8/18/2020,115626.5776,115027.7232
8/19/2020,117421.2604,115125.4252
8/20/2020,115062.9541,115228.7535
8/21/2020,115011.1863,115337.9724
8/22/2020,108709.6733,115453.3299
8/23/2020,112498.1896,115575.0568
8/24/2020,115368.9435,115703.3661
8/25/2020,114777.1747,115838.4516
8/26/2020,113951.9929,115980.4874
8/27/2020,113315.5968,116129.6269
8/28/2020,114459.6047,116286.0021
8/29/2020,104555.9765,116449.7232
8/30/2020,107680.876,116620.8778
8/31/2020,113063.617,116799.5306
9/1/2020,114231.8167,116985.7229
9/2/2020,116261.0455,117179.4724
9/3/2020,122507.5778,117380.7732
9/4/2020,122407.2686,117589.5954
9/5/2020,119038.2983,117805.885
9/6/2020,120597.0456,118029.5643
9/7/2020,119497.6902,118260.5322
9/8/2020,123246.2427,118498.6636
9/9/2020,128204.0133,118743.8108
9/10/2020,127127.3669,118995.8032
9/11/2020,127395.3753,119254.4481
9/12/2020,128236.1406,119519.5312
9/13/2020,127137.0671,119790.8173
9/14/2020,133453.8903,120068.051
9/15/2020,135736.8655,120350.9576
9/16/2020,132431.8962,120639.244
9/17/2020,130793.0275,120932.5995
9/18/2020,130801.0142,121230.6969
9/19/2020,122808.0088,121533.1939
9/20/2020,119796.7599,121839.7336
9/21/2020,127978.958,122149.9463
9/22/2020,130468.2559,122463.4506
9/23/2020,123485.4834,122779.8543
9/24/2020,117149.6551,123098.7564
9/25/2020,119308.2064,123419.7478
9/26/2020,119310.6037,123742.4133
9/27/2020,119536.1771,124066.3326
9/28/2020,118514.9128,124391.0818
9/29/2020,118340.3759,124716.2352
9/30/2020,123168.8634,125041.3662
10/1/2020,118854.8192,125366.0495
10/2/2020,121323.2131,125689.8618
10/3/2020,125996.3075,126012.384
10/4/2020,120316.9739,126333.2021
10/5/2020,124453.8581,126651.9088
10/6/2020,125084.2366,126968.1053
10/7/2020,131611.41,127281.4021
10/8/2020,127375.1326,127591.4208
10/9/2020,130801.1511,127897.7952
10/10/2020,115209.2188,128200.173
10/11/2020,114428.3451,128498.2163
10/12/2020,125623.4457,128791.6035
10/13/2020,129837.951,129080.0302
10/14/2020,130532.0897,129363.2101
10/15/2020,130948.128,129640.8764
10/16/2020,131119.725,129912.7825
10/17/2020,133319.2496,130178.7029
10/18/2020,134188.7745,130438.4341
10/19/2020,134427.4481,130691.7954
10/20/2020,135296.0988,130938.6294
10/21/2020,132252.2462,131178.8026
10/22/2020,142064.4309,131412.2062
10/23/2020,144692.6735,131638.7562
10/24/2020,141723.964,131858.3938
10/25/2020,138736.306,132071.0856
10/26/2020,131552.4942,132276.8241
10/27/2020,121182.4416,132475.6273
10/28/2020,132730.9625,132667.5389
10/29/2020,131814.9776,132852.6283
10/30/2020,125115.4531,133030.9903
10/31/2020,128435.431,133202.7446
11/1/2020,120709.7432,133368.0358
11/2/2020,120363.1349,133527.0327
11/3/2020,124569.3878,133679.9278
11/4/2020,128380.1783,133826.9367
11/5/2020,127579.1376,133968.2974
11/6/2020,136419.1106,134104.2692
11/7/2020,131721.8317,134235.1326
11/8/2020,130801.6851,134361.1872
11/9/2020,132672.4596,134482.752
11/10/2020,130274.7169,134600.163
11/11/2020,141419.1428,134713.7731
11/12/2020,134508.9068,134823.9502
11/13/2020,126418.9606,134931.0765
11/14/2020,128284.8867,135035.5465
11/15/2020,132597.5986,135137.7662
11/16/2020,142089.7794,135238.1514
11/17/2020,139881.3014,135337.1263
11/18/2020,139176.3315,135435.122
11/19/2020,145267.8364,135532.5751
11/20/2020,137927.9687,135629.9257
11/21/2020,136160.2994,135727.6164
11/22/2020,138709.6342,135826.0905
11/23/2020,140144.7581,135925.7901
11/24/2020,137019.9452,136027.1551
11/25/2020,137378.4591,136130.6208
11/26/2020,134215.5704,136236.6171
11/27/2020,127391.2454,136345.5665
11/28/2020,131707.2434,136457.8824
11/29/2020,131251.4475,136573.9677
11/30/2020,129420.2795,136694.2137
12/1/2020,139042.6864,136818.9976
12/2/2020,138381.4122,136948.6822
12/3/2020,132296.7175,137083.6133
12/4/2020,138138.4187,137224.1195
12/5/2020,137480.5091,137370.51
12/6/2020,135365.3493,137523.0737
12/7/2020,133620.3021,137682.0777
12/8/2020,137009.1479,137847.7668
12/9/2020,145020.4939,138020.3614
12/10/2020,148704.2396,138200.0576
12/11/2020,151873.3893,138387.0254
12/12/2020,150136.5178,138581.408
12/13/2020,157420.8648,138783.3214
12/14/2020,154751.5325,138992.8534
12/15/2020,144291.3998,139210.0629
12/16/2020,142984.0533,139434.9794
12/17/2020,143438.1379,139667.6028
12/18/2020,143013.3673,139907.9026
12/19/2020,139327.3547,140155.8182
12/20/2020,136991.6939,140411.258
12/21/2020,148785.1261,140674.0999
12/22/2020,144184.871,140944.1912
12/23/2020,142366.2404,141221.3484
12/24/2020,134297.2422,141505.3578
12/25/2020,140881.0425,141795.9754
12/26/2020,146340.3548,142092.9274
12/27/2020,148302.4181,142395.911
12/28/2020,145734.8578,142704.5944
12/29/2020,148762.0459,143018.6178
12/30/2020,141786.6088,143337.594
12/31/2020,144823.1345,143661.1094
1/1/2021,142446.9653,143988.7245
1/2/2021,133682.5564,144319.9754
1/3/2021,136870.9875,144654.3744
1/4/2021,145526.9656,144991.4113
1/5/2021,140307.3167,145330.5546
1/6/2021,137610.5184,145671.2528
1/7/2021,145732.8344,146012.9356
1/8/2021,141943.8825,146355.0154
1/9/2021,139006.7718,146696.8886
1/10/2021,135518.4467,147037.9374
1/11/2021,133526.4719,147377.5308
1/12/2021,133902.6627,147715.0268
1/13/2021,138536.1097,148049.7733
1/14/2021,144045.8988,148381.1106
1/15/2021,140774.8112,148708.3723
1/16/2021,138071.7724,149030.8874
