Date,Clean_Coal_Generation,Trend_Coal_Generation
2/8/2022,29402.56922,30108.26094
2/9/2022,29550.89077,29783.52462
2/10/2022,29163.22559,29465.13996
2/11/2022,29608.72075,29153.49707
2/12/2022,28860.35166,28848.9739
2/13/2022,28537.5654,28551.93548
2/14/2022,30295.44037,28262.73318
2/15/2022,27967.70948,27981.70405
2/16/2022,22004.93094,27709.17009
2/17/2022,29579.5356,27445.43767
2/18/2022,30187.71398,27190.79681
2/19/2022,30293.74833,26945.52068
2/20/2022,29139.48815,26709.86494
2/21/2022,29679.95845,26484.06731
2/22/2022,30265.20739,26268.34698
2/23/2022,30275.26973,26062.90419
2/24/2022,30292.19027,25867.91981
2/25/2022,30327.90216,25683.55496
2/26/2022,30326.36908,25509.95061
2/27/2022,30329.72885,25347.22737
2/28/2022,30324.51211,25195.48515
3/1/2022,30337.10267,25054.80298
3/2/2022,30359.98873,24925.23884
3/3/2022,30329.239,24806.82953
3/4/2022,30124.18752,24699.59061
3/5/2022,30200.30993,24603.51634
3/6/2022,30172.62665,24518.57973
3/7/2022,29301.08418,24444.73261
3/8/2022,29993.08272,24381.90572
3/9/2022,30308.13069,24330.0089
3/10/2022,30292.96542,24288.93131
3/11/2022,30166.18439,24258.5417
3/12/2022,27708.7957,24238.68868
3/13/2022,28185.94732,24229.20116
3/14/2022,24003.85541,24229.88869
3/15/2022,20701.90636,24240.54198
3/16/2022,20722.47275,24260.93336
3/17/2022,20719.87707,24290.81735
3/18/2022,22345.47049,24329.93128
3/19/2022,30267.8873,24377.99588
3/20/2022,26983.16059,24434.71602
3/21/2022,29153.08494,24499.78138
3/22/2022,30126.0284,24572.86725
3/23/2022,28723.45344,24653.63532
3/24/2022,29281.40502,24741.7345
3/25/2022,28204.35769,24836.80181
3/26/2022,20583.62112,24938.46327
3/27/2022,20684.27091,25046.33481
3/28/2022,20720.68585,25160.02327
3/29/2022,20731.51734,25279.12734
3/30/2022,20572.69992,25403.23856
3/31/2022,20713.31111,25531.94238
4/1/2022,20307.32359,25664.81915
4/2/2022,20694.98734,25801.4452
4/3/2022,20676.7174,25941.3939
4/4/2022,20650.5072,26084.23672
4/5/2022,20697.16797,26229.5443
4/6/2022,20716.62357,26376.88756
4/7/2022,20712.20959,26525.83872
4/8/2022,20646.63709,26675.97244
4/9/2022,20668.76669,26826.86684
4/10/2022,20639.1746,26978.10456
4/11/2022,20670.85126,27129.27384
4/12/2022,20643.41174,27279.96951
4/13/2022,20732.61814,27429.794
4/14/2022,28762.55879,27578.35837
4/15/2022,30163.73032,27725.28323
4/16/2022,30182.85712,27870.19971
4/17/2022,30210.00136,28012.75032
4/18/2022,30262.59089,28152.58989
4/19/2022,30132.08383,28289.38638
4/20/2022,30123.32363,28422.82164
4/21/2022,30157.40321,28552.59225
4/22/2022,30211.36392,28678.41018
4/23/2022,30205.67641,28800.0035
4/24/2022,30190.10783,28917.11698
4/25/2022,30223.16466,29029.5127
